t_sim,t_wall,phase,s0_deg,s1_deg,prism_m,gripper_state,robot_x,robot_y,obj_x,obj_y,obj_z
25.300,3.328,1. Start: simulation and gri,0.000,0.000,0.00067,0,0.0396,0.0419,,,
27.100,3.659,2. Decision: use the gripper,0.000,0.000,0.00067,0,0.0397,0.0422,,,
28.400,3.929,2. Decision: use the gripper,0.000,0.000,0.00067,0,0.0397,0.0424,,,
29.350,4.114,2. Decision: use the gripper,0.000,0.000,0.00067,0,0.0398,0.0426,,,
30.300,4.306,2. Decision: use the gripper,0.000,0.000,0.00067,0,0.0398,0.0427,,,
31.150,4.474,2. Decision: use the gripper,0.000,0.000,0.00067,0,0.0399,0.0429,,,
32.050,4.650,2. Decision: use the gripper,0.000,0.000,0.00067,0,0.0399,0.0430,,,
33.000,4.826,2. Decision: use the gripper,0.000,0.000,0.00067,0,0.0400,0.0432,,,
34.050,5.023,2. Decision: use the gripper,0.000,0.000,0.00100,1,0.0400,0.0434,,,
34.600,5.148,2. Decision: use the gripper,30.000,0.000,0.00099,1,0.0401,0.0435,,,
44.700,7.019,2. Decision: use the gripper,30.000,0.000,-0.00151,1,0.0406,0.0452,,,
45.450,7.176,2. Decision: use the gripper,30.000,0.000,-0.00851,1,0.0406,0.0453,,,
46.100,7.308,2. Decision: use the gripper,30.000,0.000,-0.01551,1,0.0407,0.0454,,,
46.900,7.449,2. Decision: use the gripper,30.000,0.000,-0.02292,2,0.0407,0.0456,,,
47.950,7.646,2. Decision: use the gripper,-35.000,20.000,-0.02288,2,0.0409,0.0458,,,
49.150,7.868,2. Decision: use the gripper,-20.000,60.000,-0.02287,2,0.0409,0.0461,,,
49.850,7.996,2. Decision: use the gripper,-0.000,4.988,-0.02279,2,0.0412,0.0462,,,
50.900,8.201,2. Decision: use the gripper,0.000,0.000,-0.01379,2,0.0409,0.0464,,,
51.650,8.334,2. Decision: use the gripper,0.000,0.000,-0.00629,2,0.0410,0.0465,,,
52.350,8.462,2. Decision: use the gripper,0.000,0.000,0.00021,2,0.0410,0.0466,,,
53.100,8.606,2. Decision: use the gripper,0.000,0.000,0.00100,1,0.0410,0.0467,,,
55.100,8.984,3. Retreat: go to the safe l,0.000,0.000,0.00100,1,0.0368,0.0471,,,
55.600,9.083,3. Retreat: go to the safe l,0.000,0.000,0.00100,1,0.0324,0.0471,,,
56.600,9.278,3. Retreat: go to the safe l,0.000,0.000,0.00100,1,0.0194,0.0471,,,
57.650,9.470,3. Retreat: go to the safe l,0.000,0.000,0.00100,1,0.0151,0.0472,,,
58.550,9.639,4. Align: translate to slot ,0.000,0.000,0.00100,1,0.0151,0.0473,,,
60.000,9.940,4. Align: translate to slot ,0.000,0.000,0.00100,1,0.0152,0.0476,,,
60.850,10.112,4. Align: translate to slot ,30.000,0.000,0.00087,1,0.0152,0.0477,,,
61.800,10.301,4. Align: translate to slot ,30.000,0.000,0.00087,1,0.0152,-0.0081,,,
62.750,10.479,4. Align: translate to slot ,30.000,0.000,0.00087,1,0.0152,-0.0453,,,
63.750,10.674,4. Align: translate to slot ,30.000,0.000,0.00087,1,0.0152,-0.1012,,,
64.800,10.874,4. Align: translate to slot ,30.000,0.000,0.00087,1,0.0152,-0.1570,,,
65.600,11.043,4. Align: translate to slot ,30.000,0.000,0.00087,1,0.0152,-0.1942,,,
66.200,11.158,4. Align: translate to slot ,30.000,0.000,0.00087,1,0.0152,-0.2315,,,
66.700,11.275,4. Align: translate to slot ,30.000,0.000,0.00087,1,0.0152,-0.2501,,,
67.200,11.369,4. Align: translate to slot ,30.000,0.000,0.00087,1,0.0152,-0.2687,,,
68.150,11.566,4. Align: translate to slot ,30.000,0.000,0.00087,1,0.0152,-0.3245,,,
68.700,11.677,4. Align: translate to slot ,30.000,0.000,0.00087,1,0.0152,-0.3431,,,
69.600,11.858,4. Align: translate to slot ,30.000,0.000,0.00087,1,0.0152,-0.3990,,,
70.550,12.042,4. Align: translate to slot ,30.000,0.000,0.00087,1,0.0152,-0.4362,,,
71.450,12.233,4. Align: translate to slot ,30.000,0.000,0.00087,1,0.0152,-0.4735,,,
72.400,12.421,4. Align: translate to slot ,30.000,0.000,0.00087,1,0.0153,-0.4920,,,
73.300,12.598,4. Align: translate to slot ,30.000,0.000,0.00087,1,0.0153,-0.4918,,,
75.100,12.953,5. Approach: move forward to,30.000,0.000,0.00087,1,0.0338,-0.4915,,,
75.600,13.053,5. Approach: move forward to,30.000,0.000,0.00087,1,0.0521,-0.4916,,,
76.650,13.267,5. Approach: move forward to,30.000,0.000,0.00087,1,0.1073,-0.4916,,,
77.600,13.454,5. Approach: move forward to,30.000,0.000,0.00087,1,0.1440,-0.4916,,,
78.550,13.646,5. Approach: move forward to,30.000,0.000,0.00087,1,0.1992,-0.4916,,,
79.550,13.843,5. Approach: move forward to,30.000,0.000,0.00087,1,0.1992,-0.4914,,,
80.500,14.026,6. Gripper camera: is there ,30.000,0.000,0.00087,1,0.1993,-0.4912,,,
82.150,14.344,6. Gripper camera: is there ,30.000,0.000,0.00087,1,0.1993,-0.4910,,,
82.750,14.461,6. Gripper camera: is there ,30.000,0.000,0.00087,1,0.1994,-0.4909,,,
83.650,14.633,6. Gripper camera: is there ,30.000,0.000,0.00087,1,0.1994,-0.4907,,,
84.750,14.860,6. Gripper camera: is there ,30.000,0.000,0.00087,1,0.1995,-0.4905,,,
85.250,14.952,6. Gripper camera: is there ,30.000,0.000,0.00087,1,0.1995,-0.4905,,,
85.800,15.059,6. Gripper camera: is there ,30.000,0.000,0.00087,1,0.1995,-0.4904,,,
86.350,15.163,6. Gripper camera: is there ,30.000,0.000,0.00087,1,0.1995,-0.4903,,,
86.850,15.255,6. Gripper camera: is there ,30.000,0.000,0.00087,1,0.1996,-0.4902,,,
87.950,15.467,6. Gripper camera: is there ,30.000,0.000,0.00087,1,0.1996,-0.4900,,,
89.600,15.796,7. Grasp: close until the fi,30.000,0.000,-0.00213,1,0.1997,-0.4897,,,
90.400,15.952,7. Grasp: close until the fi,30.000,0.000,-0.01013,1,0.1997,-0.4896,,,
92.150,16.235,7. Grasp: close until the fi,30.000,0.000,-0.01113,0,0.1998,-0.4893,0.38,-0.5,0.11
92.800,16.363,7. Grasp: close until the fi,30.000,0.000,-0.01113,0,0.1999,-0.4892,0.38,-0.5,0.11
93.350,16.464,7. Grasp: close until the fi,30.000,0.000,-0.01113,0,0.1999,-0.4891,0.38,-0.5,0.11
94.800,16.750,8. Grasped: lift the object,-5.000,20.000,-0.01107,0,0.2000,-0.4889,0.38,-0.5,0.11
95.600,16.903,8. Grasped: lift the object,-35.000,20.000,-0.01107,0,0.2001,-0.4887,0.38,-0.5,0.11
97.300,17.237,9. Retreat: straight back to,-35.000,20.000,-0.01107,0,0.1817,-0.4885,0.4584000160590174,-0.5030927380907646,0.21831330350612038
97.950,17.360,9. Retreat: straight back to,-35.000,20.000,-0.01107,0,0.1632,-0.4885,0.4398833529969171,-0.5030731250422529,0.21831330264242926
98.800,17.549,9. Retreat: straight back to,-35.000,20.000,-0.01107,0,0.1261,-0.4885,0.40284950941709297,-0.5030465743746237,0.2183132921303541
99.700,17.717,9. Retreat: straight back to,-35.000,20.000,-0.01107,0,0.0891,-0.4885,0.3658155804833066,-0.5030217206850327,0.21831330936291193
100.600,17.921,9. Retreat: straight back to,-35.000,20.000,-0.01107,0,0.0335,-0.4885,0.31026403215889303,-0.5030005272393203,0.21831331423846395
101.550,18.113,9. Retreat: straight back to,-35.000,20.000,-0.01107,0,0.0150,-0.4884,0.29174700414901017,-0.5029898510088491,0.21831330333671217
102.400,18.408,9. Retreat: straight back to,-35.000,20.000,-0.01107,0,0.0151,-0.4883,0.29174700414901017,-0.5029898510088491,0.21831330333671217
103.000,18.526,10. Carry: translate in fron,-35.000,20.000,-0.01107,0,0.0151,-0.4882,0.29174700414901017,-0.5029898510088491,0.21831330333671217
104.400,18.825,10. Carry: translate in fron,-35.000,20.000,-0.01107,0,0.0152,-0.5067,0.29196055937689686,-0.5211045500647371,0.2180965781491367
104.950,18.935,10. Carry: translate in fron,-35.000,20.000,-0.01107,0,0.0152,-0.5255,0.2919264671833384,-0.539821096407473,0.21831333180193652
105.950,19.139,10. Carry: translate in fron,-35.000,20.000,-0.01107,0,0.0152,-0.5630,0.2919275765863699,-0.5772882197271942,0.21831334074227193
106.950,19.348,10. Carry: translate in fron,-35.000,20.000,-0.01107,0,0.0152,-0.6004,0.29192868777796993,-0.6147552099080587,0.21831334002848019
107.500,19.451,10. Carry: translate in fron,-35.000,20.000,-0.01107,0,0.0152,-0.6192,0.29192943483108524,-0.6334839059686443,0.21831334035963723
108.150,19.590,10. Carry: translate in fron,-35.000,20.000,-0.01107,0,0.0152,-0.6379,0.29194697628324423,-0.6522186963251995,0.21820480086755895
108.750,19.709,10. Carry: translate in fron,-35.000,20.000,-0.01107,0,0.0152,-0.6567,0.2919477257703556,-0.6709472834222037,0.2182048024485428
109.300,19.814,10. Carry: translate in fron,-35.000,20.000,-0.01107,0,0.0152,-0.6754,0.2919317613182239,-0.6896677612496789,0.21831335007459685
109.800,19.917,10. Carry: translate in fron,-35.000,20.000,-0.01107,0,0.0152,-0.6942,0.2919322839524607,-0.7084019897583791,0.2183133547458132
110.350,20.028,10. Carry: translate in fron,-35.000,20.000,-0.01107,0,0.0152,-0.7129,0.2919329588071044,-0.7271323455708301,0.21831335480327674
111.250,20.209,10. Carry: translate in fron,-35.000,20.000,-0.01107,0,0.0152,-0.7504,0.29193408203530563,-0.7645987083091568,0.21831335727281337
112.300,20.415,10. Carry: translate in fron,-35.000,20.000,-0.01107,0,0.0152,-0.7879,0.2919519984053804,-0.8020710648133376,0.21820481634953104
113.200,20.601,10. Carry: translate in fron,-35.000,20.000,-0.01107,0,0.0152,-0.8254,0.2919364901647062,-0.839527137951599,0.21831336525225825
114.200,20.809,10. Carry: translate in fron,-35.000,20.000,-0.01107,0,0.0152,-0.8629,0.29195433438057977,-0.8770011509912214,0.21820482468309027
115.200,21.005,10. Carry: translate in fron,-35.000,20.000,-0.01107,0,0.0152,-0.9004,0.2919555462706227,-0.9144650016074423,0.21820483298320537
115.750,21.106,10. Carry: translate in fron,-35.000,20.000,-0.01107,0,0.0152,-0.9192,0.2919394393949704,-0.933188789249064,0.21831337517155047
116.350,21.224,10. Carry: translate in fron,-35.000,20.000,-0.01107,0,0.0152,-0.9379,0.2919569126300286,-0.9519247702194058,0.21820483452564815
117.300,21.416,10. Carry: translate in fron,-35.000,20.000,-0.01107,0,0.0152,-0.9754,0.2919413400668352,-0.9893821905792552,0.21831338298566838
118.200,21.597,10. Carry: translate in fron,-35.000,20.000,-0.01107,0,0.0152,-1.0316,0.29193384555160135,-1.0455884788075671,0.21832769582489436
119.100,21.801,10. Carry: translate in fron,-35.000,20.000,-0.01107,0,0.0152,-1.0315,0.29193384555160135,-1.0455884788075671,0.21832769582489436
121.100,22.166,"11. Insert: move forward, ex",-35.000,20.000,-0.01107,0,0.0153,-1.0316,0.2920962513728697,-1.045431485471069,0.21831340309223773
121.700,22.283,"11. Insert: move forward, ex",-35.000,20.000,-0.01107,0,0.0153,-1.0320,0.29209701987679626,-1.0457996954440985,0.21831340967014967
122.600,22.475,"11. Insert: move forward, ex",-35.000,20.000,-0.01107,0,0.0153,-1.0328,0.2921150337533598,-1.0465501003471336,0.21820486786348492
123.650,22.671,"11. Insert: move forward, ex",-35.000,20.000,-0.01107,0,0.0153,-1.0335,0.2920993208502527,-1.0472922106727764,0.21831341599959314
124.500,22.853,"11. Insert: move forward, ex",-35.000,20.000,-0.01107,0,0.0154,-1.0334,0.2920993208502527,-1.0472922106727764,0.21831341599959314
125.000,22.946,"11. Insert: move forward, ex",-35.000,20.000,-0.01107,0,0.0197,-1.0333,0.29643292987941366,-1.0470096282110215,0.2183134190646709
125.600,23.073,"11. Insert: move forward, ex",-35.000,20.000,-0.01107,0,0.0239,-1.0333,0.30069049419013893,-1.0469934089422508,0.21831342390158076
126.150,23.172,"11. Insert: move forward, ex",-35.000,20.000,-0.01107,0,0.0282,-1.0333,0.30494813625962586,-1.046975113428032,0.21831342465588327
126.800,23.310,"11. Insert: move forward, ex",-35.000,20.000,-0.01107,0,0.0324,-1.0333,0.3092225657738564,-1.0469628494690666,0.21820488589068598
127.450,23.422,"11. Insert: move forward, ex",-35.000,20.000,-0.01107,0,0.0367,-1.0333,0.31346357821265747,-1.0469342879499224,0.21831343088957367
128.100,23.561,"11. Insert: move forward, ex",-35.000,20.000,-0.01107,0,0.0410,-1.0333,0.3177214560779958,-1.0469096865167011,0.2183134366844981
128.650,23.665,"11. Insert: move forward, ex",-35.000,20.000,-0.01107,0,0.0410,-1.0332,0.3177214560779958,-1.0469096865167011,0.2183134366844981
129.300,23.788,"11. Insert: move forward, ex",-35.000,20.000,-0.01107,0,0.0410,-1.0331,0.3177214560779958,-1.0469096865167011,0.2183134366844981
129.900,23.903,"11. Insert: move forward, ex",-40.000,30.000,-0.01106,0,0.0410,-1.0329,0.3177214560779958,-1.0469096865167011,0.2183134366844981
