t_sim,t_wall,phase,s0_deg,s1_deg,prism_m,gripper_state,robot_x,robot_y,obj_x,obj_y,obj_z
25.850,3.475,1. Start: simulation and gri,0.000,0.000,0.00067,0,0.0396,0.0420,,,
27.500,3.787,2. Decision: use the gripper,0.000,0.000,0.00067,0,0.0397,0.0423,,,
28.750,4.038,2. Decision: use the gripper,0.000,0.000,0.00067,0,0.0397,0.0425,,,
29.600,4.203,2. Decision: use the gripper,0.000,0.000,0.00067,0,0.0398,0.0426,,,
30.200,4.310,2. Decision: use the gripper,0.000,0.000,0.00067,0,0.0398,0.0427,,,
31.100,4.477,2. Decision: use the gripper,0.000,0.000,0.00067,0,0.0399,0.0429,,,
32.200,4.676,2. Decision: use the gripper,0.000,0.000,0.00067,0,0.0399,0.0431,,,
33.100,4.849,2. Decision: use the gripper,0.000,0.000,0.00067,0,0.0400,0.0432,,,
34.100,5.043,2. Decision: use the gripper,0.000,0.000,0.00100,1,0.0400,0.0434,,,
45.400,7.100,2. Decision: use the gripper,30.000,0.000,-0.00101,1,0.0406,0.0453,,,
46.150,7.258,2. Decision: use the gripper,30.000,0.000,-0.00801,1,0.0407,0.0454,,,
46.750,7.382,2. Decision: use the gripper,30.000,0.000,-0.01401,1,0.0407,0.0455,,,
47.250,7.509,2. Decision: use the gripper,30.000,0.000,-0.01951,1,0.0407,0.0456,,,
47.800,7.616,2. Decision: use the gripper,30.000,0.000,-0.02299,2,0.0408,0.0457,,,
48.750,7.794,2. Decision: use the gripper,-35.000,20.000,-0.02288,2,0.0409,0.0459,,,
49.750,7.986,2. Decision: use the gripper,-0.000,19.975,-0.02282,2,0.0411,0.0462,,,
50.450,8.111,2. Decision: use the gripper,0.000,0.000,-0.02281,2,0.0408,0.0464,,,
51.000,8.220,2. Decision: use the gripper,0.000,0.000,-0.01881,2,0.0408,0.0465,,,
51.650,8.335,2. Decision: use the gripper,0.000,0.000,-0.01231,2,0.0408,0.0466,,,
52.350,8.496,2. Decision: use the gripper,0.000,0.000,-0.00481,2,0.0409,0.0467,,,
53.150,8.638,2. Decision: use the gripper,0.000,0.000,0.00100,1,0.0409,0.0468,,,
53.650,8.754,3. Retreat: go to the safe l,0.000,0.000,0.00100,1,0.0410,0.0469,,,
55.600,9.139,3. Retreat: go to the safe l,0.000,0.000,0.00100,1,0.0367,0.0472,,,
56.150,9.257,3. Retreat: go to the safe l,0.000,0.000,0.00100,1,0.0324,0.0472,,,
56.750,9.367,3. Retreat: go to the safe l,0.000,0.000,0.00100,1,0.0280,0.0472,,,
57.400,9.483,3. Retreat: go to the safe l,0.000,0.000,0.00100,1,0.0237,0.0472,,,
58.300,9.661,3. Retreat: go to the safe l,0.000,0.000,0.00100,1,0.0150,0.0472,,,
59.200,9.840,3. Retreat: go to the safe l,0.000,0.000,0.00100,1,0.0151,0.0473,,,
59.650,9.940,3. Retreat: go to the safe l,0.000,0.000,0.00100,1,0.0151,0.0474,,,
60.400,10.082,4. Align: translate to slot ,0.000,0.000,0.00100,1,0.0151,0.0475,,,
61.850,10.371,4. Align: translate to slot ,0.000,0.000,0.00100,1,0.0152,0.0478,,,
62.500,10.487,4. Align: translate to slot ,0.000,0.000,0.00100,1,0.0152,0.0479,,,
63.300,10.647,4. Align: translate to slot ,30.000,0.000,0.00099,1,0.0153,0.0294,,,
64.250,10.843,4. Align: translate to slot ,30.000,0.000,0.00099,1,0.0153,-0.0451,,,
64.800,10.953,4. Align: translate to slot ,30.000,0.000,0.00099,1,0.0153,-0.0823,,,
65.450,11.086,4. Align: translate to slot ,30.000,0.000,0.00099,1,0.0153,-0.1009,,,
65.950,11.186,4. Align: translate to slot ,30.000,0.000,0.00099,1,0.0153,-0.1196,,,
66.550,11.299,4. Align: translate to slot ,30.000,0.000,0.00099,1,0.0153,-0.1382,,,
67.450,11.468,4. Align: translate to slot ,30.000,0.000,0.00099,1,0.0153,-0.1755,,,
68.350,11.659,4. Align: translate to slot ,30.000,0.000,0.00099,1,0.0153,-0.2313,,,
69.050,11.787,4. Align: translate to slot ,30.000,0.000,0.00099,1,0.0153,-0.2686,,,
69.600,11.896,4. Align: translate to slot ,30.000,0.000,0.00099,1,0.0153,-0.2872,,,
70.450,12.070,4. Align: translate to slot ,30.000,0.000,0.00099,1,0.0153,-0.3245,,,
71.050,12.184,4. Align: translate to slot ,30.000,0.000,0.00099,1,0.0153,-0.3617,,,
71.600,12.294,4. Align: translate to slot ,30.000,0.000,0.00099,1,0.0153,-0.3803,,,
72.550,12.483,4. Align: translate to slot ,30.000,0.000,0.00099,1,0.0153,-0.4176,,,
73.450,12.670,4. Align: translate to slot ,30.000,0.000,0.00099,1,0.0153,-0.4548,,,
74.400,12.855,4. Align: translate to slot ,30.000,0.000,0.00099,1,0.0153,-0.4921,,,
75.300,13.034,4. Align: translate to slot ,30.000,0.000,0.00099,1,0.0153,-0.4919,,,
76.050,13.189,5. Approach: move forward to,30.000,0.000,0.00099,1,0.0154,-0.4918,,,
77.600,13.499,5. Approach: move forward to,30.000,0.000,0.00099,1,0.0338,-0.4915,,,
